"% GC","PE1.R1","PE1.R2","PE2.R1","PE2.R2","PE3.R1","PE3.R2","PE1.R1.clean","PE1.R2.clean","PE2.R1.clean","PE2.R2.clean","PE3.R1.clean","PE3.R2.clean"
22,0.038721536171979605,0.10752286901802,0.08952193105355669,0.086290858448403,0.02630406882820417,0.03510295728436067,0.06592859529485107,0.08543589482187558,0.09389954392954976,0.09424952020878787,0.03582164289811612,0.041414930176637235
23,0.04175394563123102,0.11778535543188742,0.09461667509725502,0.09348176331910323,0.03446686540852004,0.04519894057411042,0.2605749242606018,0.291102588452746,0.09992811387055198,0.0965877716643494,0.04590132596468559,0.05507619862137053
24,0.04362004376000112,0.12478250525952428,0.10626180433999409,0.10549694614103278,0.04576442417367203,0.05731412052181012,0.4600425620659421,0.4926692456265354,0.10787486515641855,0.10773943245241209,0.059477178822177054,0.07036765787657004
25,0.04035437203465344,0.15137167460454443,0.11845279901598658,0.11423526092061786,0.06312976518769,0.07517624480367506,0.509713255459852,0.5424237420921932,0.11591295841108819,0.11718237102294904,0.07836777366022334,0.08689860105377689
26,0.039654585236364656,0.1690977875012245,0.13100770398081465,0.12333767214935236,0.0878509342987987,0.09918915275129524,0.4038687079116557,0.4368201003733249,0.12970559570035084,0.12716490608323097,0.1042930004566167,0.11008503398611023
27,0.04828528908192637,0.2096812565015184,0.14237990050692703,0.1401771329225112,0.11429467074909955,0.1287781499312541,0.3807712748661807,0.41997670736045195,0.14002723817509707,0.14272327153754424,0.1318676299366305,0.1393745779691972
28,0.1404238841899501,0.24956501051904856,0.1481114875560877,0.15510508733763573,0.1439197252582687,0.1637413166777567,1.337969264716765,1.3514606656907842,0.147060569772933,0.15819170424356668,0.16465831918535861,0.17589893571443585
29,0.20037228657668965,0.2416349073810601,0.17058294789168574,0.17667780194973648,0.1813661666048508,0.20300692553389113,2.975756665179162,2.9559046619630753,0.1717229013497603,0.18022522757481954,0.2064572846292446,0.21901141995817008
30,0.22323198865412336,0.26822407672608023,0.20015065885957795,0.21436178443669726,0.2324069231688411,0.2540460041340722,3.9834102126533573,3.955648686713998,0.19611120702017837,0.21377014268729846,0.2590971959167556,0.27271340814427164
31,0.5654277330173407,0.5131243206933709,0.2412725214980003,0.25095347757620995,0.2914708086910506,0.31184162539739346,5.188737422550719,5.131915902711675,0.232739336510207,0.24839425077926727,0.31989953586936276,0.3342834247048546
32,0.8469752881955297,0.7426308350398605,0.29667786297321985,0.2869990260419985,0.35138821857051744,0.37797808208624645,5.516698547104188,5.431883434855407,0.28864062141768215,0.2834680226126902,0.38452228716608233,0.40222600534271463
33,0.8215497011910371,1.0374440811109609,0.34425913323847407,0.35572223081894394,0.43799766289512354,0.46790999477494033,4.537187988437829,4.552702644301891,0.3331241602247743,0.3460612154231066,0.47209570144514457,0.4861336778020825
34,0.9423795550289013,1.3275925606303034,0.3955704839642932,0.42162368811498163,0.5289833593787584,0.5514736718500999,3.797845884059856,3.9077779907826753,0.3822661394408227,0.4091040719749771,0.5741331084882633,0.5804422370852512
35,1.8192124132847525,1.4327830463724442,0.44961116185637917,0.45311803096640296,0.6073058581256295,0.6308746973534856,5.289312167413782,5.287717288080751,0.44017694766196536,0.4501134051955948,0.6741263840003993,0.6802206928068437
36,2.366678951812681,1.6079450303909542,0.533492483432984,0.5308526228597956,0.7125221334384462,0.7456737934989323,7.268515507795945,7.16952321008476,0.5201011703646462,0.5251173172701453,0.793616445080459,0.7989012783390484
37,2.1644405671072215,1.8010663656337318,0.607548227211028,0.6176896259819227,0.8442131824509185,0.8745451371220918,7.471010479058701,7.3843872827950285,0.5956409785647803,0.6056970597387273,0.9391586100864217,0.9377638955578513
