"Read Position","PE1.R1","PE2.R1","PE3.R1"
78,32.5002,50.8304,49.952000000000005
79,43.7314,51.2296,50.117
80,33.1203,50.6792,49.8148
81,39.9692,51.79430000000001,50.586200000000005
82,39.983000000000004,51.8988,50.7095
83,40.2065,51.5635,50.8154
84,35.7378,51.3996,50.377
85,38.4225,51.207800000000006,50.37350000000001
86,40.254,50.832,49.7292
87,31.7592,52.1494,51.0204
88,39.957,51.1095,50.1681
89,41.064099999999996,51.4986,50.1562
90,38.1594,51.3652,50.458499999999994
91,34.6119,50.5265,49.4223
92,39.93,51.3921,50.942600000000006
93,33.4766,51.9925,50.61409999999999
94,38.957,51.3618,50.4783
95,38.908500000000004,51.0668,50.277899999999995
96,38.2704,51.3131,50.169399999999996
97,40.1723,50.7586,49.7255
98,39.6135,51.5869,50.6499
99,37.5853,50.6493,49.5383
100,39.4768,52.2207,51.23609999999999
101,32.244299999999996,50.4399,49.6161
102,38.8628,51.218799999999995,50.0914
103,42.7192,51.2983,50.1718
104,35.701699999999995,51.6297,50.5975
105,37.1924,50.93600000000001,50.12649999999999
106,38.4133,52.5549,51.67509999999999
107,43.2544,51.410599999999995,50.1989
108,34.0353,52.3388,51.0773
109,41.8464,50.7468,49.628
110,41.6582,51.773599999999995,50.67850000000001
111,37.894,51.5343,50.4475
112,39.872,52.0674,50.6427
113,38.43,51.824999999999996,50.43299999999999
114,36.140299999999996,51.3505,49.9222
115,40.9263,51.6597,50.443400000000004
116,38.2842,51.0559,50.4144
117,39.145799999999994,51.176,49.5983
118,37.8515,51.3849,49.9056
119,41.9773,51.1668,50.0445
120,40.6086,51.5317,50.537200000000006
121,33.9221,52.0295,50.85809999999999
122,38.757799999999996,52.184799999999996,50.388
123,38.927800000000005,51.7153,50.68
124,43.8883,51.0288,50.0912
125,36.574600000000004,52.2445,50.7249
126,38.4245,51.4977,50.300900000000006
127,38.141799999999996,51.1031,49.647000000000006
128,42.215,51.68469999999999,50.100699999999996
129,36.9852,51.620900000000006,50.258100000000006
130,43.772299999999994,52.8721,51.247
131,34.7802,52.0946,50.503
132,39.542100000000005,50.93879999999999,50.3296
133,37.122699999999995,51.677499999999995,49.9589
134,38.3281,51.532500000000006,50.670300000000005
135,38.5933,51.6405,50.465199999999996
136,39.7248,52.312000000000005,50.7302
137,35.376400000000004,50.6606,49.7339
138,43.2348,51.3775,50.442299999999996
139,39.1577,51.4385,49.781
140,41.0582,51.5367,50.6267
141,34.0724,51.160000000000004,49.8893
142,42.0567,51.3169,49.7903
143,42.6228,51.988299999999995,50.240899999999996
144,35.776,50.9401,49.683699999999995
145,37.1633,51.720699999999994,49.8724
146,40.818799999999996,50.919599999999996,49.809599999999996
147,36.721900000000005,50.8815,49.1429
148,39.67,51.6907,49.8185
149,49.5481,50.88009999999999,49.5702
150,35.88,50.11370000000001,48.1115
151,6.872350000000001,37.7756,32.8568
