"Insert size","PE1.R1","PE2.R1","PE3.R1"
42,1.26884539750913,0.40065214374913277,0.26377605568952467
43,15.736492180915814,0.24455390592479534,0.27470169113228604
44,0.7631800730405469,0.21853753295407244,0.2918705468280539
45,1.0628335986515591,0.2063965589010684,0.2848469240434216
46,1.3437587789118832,0.1630359372831969,0.2852371253092345
47,6.437868714299092,0.16130151241848203,0.32152584302983483
48,3.225957486656054,0.17517691133620092,0.3308906734093445
49,0.7491338140275307,0.1352851394477591,0.3176238303717057
50,2.509598276992228,0.19945885944220895,0.3422065101179188
51,1.334394606236539,0.2462883307895102,0.31996503796658315
52,0.6414458282610731,0.3590259469959761,0.3238670506247122
53,0.5384399288322876,0.3017899264603857,0.36015576834531254
54,0.3371102163123888,0.3659636464548356,0.32503765442215093
55,0.14514467646783408,0.26189815457194393,0.37186180631969973
56,0.4167056840528139,0.2098654086304981,0.3562537556871834
57,0.1732371944938665,0.18731788538920494,0.38356784429408686
58,0.210693885195243,0.18731788538920494,0.3823972404966482
59,0.3043356119486843,0.1543638129596226,0.40854072530611285
60,0.4401161157411742,0.19599000971277925,0.41244273796424197
61,0.14982676280550614,0.23067850700707648,0.4397568265711454
62,0.26687892124730783,0.3243374497016789,0.4307821974574485
63,0.2247401442082592,0.42666851671985573,0.42375857467281625
64,0.4635265474295346,0.4197308172609962,0.45536487720366164
65,0.3605206480007491,0.38157347023726934,0.3968346873317257
66,0.3698848206760933,0.38157347023726934,0.4409274303685842
67,0.280925180260324,0.3330095740252532,0.41439374429330644
68,0.29497143927334024,0.2775079783543777,0.428831191128384
69,0.346474388987733,0.2636325794366588,0.4647297075831714
70,0.21537597153291507,0.2636325794366588,0.46824151897548755
71,0.15919093548085028,0.3017899264603857,0.5010184253037717
72,0.2762430939226519,0.37637019564312474,0.48111816074731345
73,0.2996535256110123,0.43360621617871514,0.49438500378495226
74,0.12641633111714579,0.4925766615790204,0.5349659354294946
75,0.11705215844180167,0.5324684334674622,0.5224794949234816
76,0.12173424477947374,0.4925766615790204,0.4846299721396296
77,0.12173424477947374,0.47870126266130153,0.49633601011401685
78,0.07959546774042514,0.42146524212571107,0.5096028531516557
79,0.1123700721041296,0.31393090051338973,0.5275521113790493
80,0.16387302181852234,0.35729152213126125,0.5220892936576687
81,0.14982676280550614,0.3711669210489802,0.5560368037833915
82,0.10300589942878546,0.4127931178021368,0.5677428417577787
83,0.09364172675344133,0.5272651588733176,0.5681330430235916
84,0.09364172675344133,0.7041764950742334,0.537307143024372
85,0.13109841745481787,0.6850978215623699,0.5544759987201399
86,0.07959546774042514,0.6972387956153739,0.5548661999859528
87,0.07959546774042514,0.5949077285971971,0.5611094202389593
88,0.06086712238973687,0.5584848064381851,0.5529151936568882
89,0.0842775540780972,0.42666851671985573,0.5431601620115656
90,0.06554920872740894,0.3434161232135424,0.5334051303662429
